ids,sexually_explicit_adult,sexually_suggestive_mature,offensive,review_recommended,examples,user_id,subforum_id,num_contexts,label
13458115_2,0.015370146371424198,0.13490447402000427,0.11870960891246796,False,It 's like that at most public boards .,572266,1347,0,noHate
13367480_1,0.03724539652466774,0.10952078551054001,0.15502780675888062,False,I wonder if one of the victims opened the door to their apartment for some reason .,572710,1345,0,noHate
30422449_1,0.00010444303916301578,0.16979458928108215,0.20160239934921265,False,Some people believe the Jack O ' Lantern also represents the ancient Celtic warrior 's tradition of taking the heads of their enemies as trophies .,576917,1348,0,noHate
14651837_4,0.024579545482993126,0.2296631783246994,0.06835142523050308,False,Ready .... GO !!!,572043,1371,0,noHate
30527903_3,0.009377402253448963,0.2296631783246994,0.06973705440759659,False,Thanks !,573458,1359,0,noHate
12870229_4,0.006619674619287252,0.2522389590740204,0.10542143136262894,False,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,572066,1346,0,noHate
14053109_1,0.0013452613493427634,0.040182530879974365,0.1440379023551941,False,"This is a video of a band from the Upper Silesian village of Zebowice ( Zembowitz-Fohrendorf ) , it is the town with the highest percentage of Germans in Poland .",575982,1383,0,noHate
30399453_2,0.011773692443966866,0.22391314804553986,0.18583640456199646,False,I can give you her Skype and she will answer all your questions .,574666,1362,0,noHate
31713873_1,0.003292046720162034,0.10877366364002228,0.12494552880525589,False,If i sent you some pic wound use be able to put them up cuz use dont have many also i have lots of links to give use,572043,1363,0,noHate
13617074_1,0.03384125232696533,0.09612821042537689,0.9879999756813049,True,"Why, are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ...",572043,1393,0,noHate
30586609_1,0.0011350195854902267,0.46995866298675537,0.49135464429855347,False,ALWAYS SPEAK OUT WHEN IN A CLASS WITH A BRAINWASHING TEACHER BECAUSE ONCE YOU SPEAK OTHERS WHO MAY FEEL THE SAME WAY MAY REALIZE THEY ARE NOT ALONE but if you say nothing then everybody will without question go along with the anti white brainwashing .,577193,1348,0,noHate
30386096_4,0.0017960765399038792,0.20442232489585876,0.03278018906712532,False,Here 's the link : http://apps.meadjohnson.com/forms/jsp/Efb/Efb.do ?,587337,1362,0,noHate
13511568_2,0.0022321937140077353,0.2296631783246994,0.06155778095126152,False,http://www.stltoday.com/stltoday/new ... A ? OpenDocument,577328,1345,0,noHate
14059932_2,0.023677751421928406,0.09656549245119095,0.34302735328674316,False,They are doing the same to all the white nations .,577997,1383,0,relation
30526591_3,0.2282106727361679,0.2296631783246994,0.1257471889257431,False,Y !,575351,1348,0,noHate
14104444_3,0.00019999999494757503,0.2296631783246994,0.10699118673801422,False,NeoFolk ?,599704,1381,0,noHate
14673212_2,0.0034219638910144567,0.04523041471838951,0.07165615260601044,False,They fit the same DNA as the DNA found in ancient mummies .,614293,1371,0,noHate
33222250_1,0.0037017303984612226,0.14163753390312195,0.18974442780017853,False,I would not be surprised if this woman was specifically targeted by local Jews from her town for this abominable treatment .,572710,1346,2,hate
13481672_2,0.0029972728807479143,0.12058380246162415,0.5795730948448181,True,If they were jew pieces of garbage who the hell cares what happened to them .,584956,1345,0,hate
13501878_2,0.013713461346924305,0.19899290800094604,0.045830145478248596,False,Is it a good idea for them to release all these videos ?,572043,1395,0,noHate
14035837_2,0.0033575035631656647,0.09625855088233948,0.30070626735687256,False,The sooner we acknowledge eachother in local areas and band together as a unit the sooner we become a strong white nation again .,595786,1387,0,noHate
31728633_5,0.019408555701375008,0.2296631783246994,0.11415530741214752,False,88 - Jim,599308,1363,0,noHate
12860405_2,0.014367027208209038,0.17375114560127258,0.27600470185279846,False,This would make me crazy if I saw it in person .,572067,1346,0,noHate
12848466_6,0.002983705373480916,0.08921261876821518,0.2777673900127411,False,"She says the class is out of control and the kids are unteachable , and the black administration does not support her .",575848,1346,0,noHate
13458990_4,0.038480259478092194,0.19213467836380005,0.052341993898153305,False,http://www.newnation.tv/forums/showthread.php ? t = 207286,573278,1347,0,noHate
13449582_3,0.11016891151666641,0.20629960298538208,0.9879999756813049,True,Just the yo crap .,572427,1347,0,noHate
13245714_1,0.00023557452368550003,0.09879983961582184,0.05071992799639702,False,Free Edgar Steele has announced the start of an official fundraising campaign with full support of Cyndi Steele : Fundraising Campaign | Free Edgar Steele,572472,1345,0,noHate
30561702_1,0.001209278590977192,0.03724836930632591,0.05306238308548927,False,When I was in grammar school I would go to the library every few days and get a new Hardy Boys book .,576192,1362,0,noHate
30413458_1,0.00035004090750589967,0.005363461561501026,0.371555894613266,False,"It's a powerful symbol that strikes fear into the heart of our racial enemies , theres a good video on YouTube done by Thule productions entitled the meaning of the swastika our holy aryan symbol .Here 's the link The meaning of the Swastika - Our Holy Aryan Symbol - YouTube",577193,1354,0,noHate
13864766_5,0.00018699710199143738,0.2296631783246994,0.12075941264629364,False,"Regards , Draiodoir .",591125,1391,2,noHate
30405478_2,0.17507538199424744,0.19379518926143646,0.09181462228298187,False,You lost the fight already .,572287,1396,0,noHate
30559316_1,0.005356328096240759,0.21175333857536316,0.20111232995986938,False,He is a hero of mine .,572893,1354,0,noHate
14296825_2,0.007961226627230644,0.08703144639730453,0.22584015130996704,False,That 's why we need to keep in touch and stay organized .,572417,1380,0,noHate
14651426_2,0.016550684347748756,0.12956881523132324,0.5524928569793701,True,Look what white liberals have done .,574041,1371,0,relation
14104912_2,0.03478638082742691,0.12030082941055298,0.055377889424562454,False,There are multitudes of great people here and a hearty welcome from my us all !,599756,1381,0,noHate
33045538_1,1.0598775588732678e-05,0.1290869116783142,0.49896255135536194,False,"Yes they did , the Jews claimed that Jesus got his power from the devil to heal people of their illnesses .",580141,1347,0,noHate
13379474_2,0.002046317793428898,0.11838803440332413,0.34360072016716003,False,"Any Europeans traveling to this country must be insane , I hope any Whites traveling there stay safe and use good judgement at night .",575537,1345,1,noHate
13849943_2,4.0946360968519e-05,0.1732269525527954,0.23579280078411102,False,Apparently if the 2nd toe is bigger than the Big Toe it is a racial sign that your parents have confined their mating patterns to mixing within those of Celtic Stock .,592598,1391,0,noHate
13498188_3,0.04142036288976669,0.16315850615501404,0.10734961181879044,False,Careful what you laugh at .,586321,1395,0,noHate
14055786_2,0.00962300319224596,0.1346290558576584,0.11048058420419693,False,That is only an issue to be sorted out with Serbian moderators .,572734,1383,0,noHate
30582393_1,0.013421813026070595,0.10640463978052139,0.2376895546913147,False,"He just got completely knocked out , should be fine , I 've seen people flop around like a fish many times after being completely knocked out .",576014,1359,0,noHate
13456820_1,0.4566493332386017,0.07098264992237091,0.9879999756813049,True,Put that fat Black idiot to work and she would n't be smirking at Whitey and playing stupid for the camera at her welfare review hearing !,572059,1347,0,hate
13482640_2,0.0003937403380405158,0.14276781678199768,0.13186320662498474,False,Sometimes pictures are worth a thousand words .,575733,1346,0,noHate
30632791_1,0.001671293517574668,0.11046016961336136,0.20486000180244446,False,I think you already know the answer to your own question .,579418,1362,0,noHate
13462533_2,0.04975559189915657,0.09694039076566696,0.18971870839595795,False,I hope this will catch on like the 14 words .,579056,1347,2,noHate
14031187_2,2.5643184926593676e-05,0.1306450068950653,0.07178790867328644,False,"We just recently visited a relative in London .. Lord god , 2011 London is nothing like the 1950 's London I spent holidays in as a wee kid .",572512,1387,0,noHate
13502231_3,0.015957893803715706,0.2296631783246994,0.039283912628889084,False,2508,586529,1395,0,noHate
13569459_2,0.06074076145887375,0.20621497929096222,0.04555985704064369,False,I doubt it though .,577166,1347,0,noHate
30462337_3,0.001251116511411965,0.21666887402534485,0.31584593653678894,False,"If you have good grades , do n't get in trouble , are involved in extracurriculars , and otherwise are a good citizen , probably most teachers are n't going to take time out of their day unless your school is REALLY liberal .",574434,1362,0,noHate
13456898_1,0.004698267672210932,0.127110555768013,0.9879999756813049,True,"I know exactly what you 're saying , I just hate to see those worthless apes benefit from the great things that whites do .",572496,1396,0,hate
30436626_3,0.007597577758133411,0.22102850675582886,0.4873267114162445,False,Damn early euro fur traders could n't keep their hide pants on .,575397,1388,0,noHate
13472258_3,0.006337678525596857,0.2296631783246994,0.09099791198968887,False,YouTube,578140,1346,0,noHate
14077746_6,0.0032430875580757856,0.2296631783246994,0.03711848706007004,False,Dessert * * * * * * !!,575384,1383,0,noHate
30622613_1,0.0017151565989479423,0.1733514368534088,0.047501932829618454,False,Bought the p226 today .,575744,1359,0,noHate
30560308_2,0.0007512107840739191,0.18956603109836578,0.1457161158323288,False,"Such as a person with one arm , wheel chair ect .",578499,1359,0,noHate
13865833_3,0.0070253838784992695,0.08327645063400269,0.07279260456562042,False,Get out there and lead by example .,591825,1391,0,noHate
13586816_5,0.02876576967537403,0.12937498092651367,0.06938429176807404,False,That is how we get happy country .,589791,1393,0,noHate
30709708_3,0.19308415055274963,0.11863896995782852,0.28072747588157654,False,I prefer male teachers and my girlfriend says she likes female teachers .,582876,1362,0,noHate
14296672_3,0.6664865016937256,0.21204015612602234,0.0793023332953453,True,Please message me .,575071,1380,0,noHate
14412097_2,0.002428535372018814,0.20419785380363464,0.08802561461925507,False,We will be announcing congressional candidates and local office candidates in a few months .,589506,1375,0,noHate
30439245_1,0.4927963316440582,0.19100205600261688,0.1036817654967308,False,My good friend and neighbor carries his like that too .,572482,1359,0,noHate
33496624_1,0.003314389381557703,0.27887874841690063,0.11103896796703339,False,You can ignore reality but you cannot ignore the consequences of ignoring reality .,572256,1396,0,noHate
30623737_5,4.593396596419552e-08,0.8220805525779724,0.9879999756813049,True,"Here 's some good anime : `` Cowboy Bebop '' ( real title is `` Heaven 's Gate '' ) [ generally ok for kids ] `` Akira '' [ a little disturbing for youngsters ] `` Princess Mononoke '' [ kid ok ] `` Spirited Away '' [ kid ok ] `` Robotech '' [ kid ok ] `` Golgo 13 '' [ violent ] `` Ninja Scrolls '' [ violent , sexual situations ] `` Vampire Hunter D '' [ violent ] `` Animatrix '' [ violent - mature kids only ] Check out `` adult swim '' on Comedy Central late at night .",579195,1362,0,noHate
30447565_1,0.0019426201470196247,0.11509975790977478,0.06738641858100891,False,Other ethnic groups are allowed to have ethnocentric charter schools paid by taxpayers .,575083,1362,0,noHate
14270522_1,0.0021893761586397886,0.048873402178287506,0.9879999756813049,True,I heard the feds got him because he ate a chocolate bar and they charged him with racist eating. lol Now im sure he is ok atleast I hope so I look forward to his reading his wisdom as often as he posts it .,573684,1380,0,noHate
14669948_3,0.018152210861444473,0.2296631783246994,0.501522421836853,True,#WethePeople #RealAmericans,614438,1371,1,noHate
14675480_4,0.0012826358433812857,0.10729019343852997,0.30011487007141113,False,Liberals have this illusion that genes pick and select which genes that get passed down and they think it only passes down the good ones .,575539,1371,0,relation
13107589_8,0.0004374006821308285,0.2296631783246994,0.07617584615945816,False,"CONFIRMED - March 12 , 2011 YouTube - UPDATE 1pm CST -- NOT GOOD !",572066,1345,0,noHate
14678603_1,0.0005506365559995174,0.04895778000354767,0.6129981875419617,True,I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,572073,1371,0,hate
13866670_1,0.09876164048910141,0.06519696861505508,0.16995875537395477,False,My ex girlfriends mother wrote that song !,592605,1391,0,noHate
13442012_1,0.0004687682376243174,0.11616212129592896,0.13495290279388428,False,Ok how about I post a cool song that will cool us off : YouTube - Darkthrone - Transilvanian Hunger - With Lyrics Now come on people lets make some progress .,575159,1347,0,noHate
30582420_2,0.013345940038561821,0.10569129139184952,0.9879999756813049,True,Also notice that the Nig giving the running commentary said nothing about the ' White boy ' a term the Yard Ape will never fail to use when given the chance !,573419,1359,0,hate
14055056_2,0.005712463054805994,0.2296631783246994,0.06276031583547592,False,Moby Extreme Ways ( The Bourne Clip ) - YouTube,575931,1383,0,noHate
13605248_8,0.00014618337445426732,0.11669992655515671,0.028563199564814568,False,"Norway : 3.3 ( 2001 ) , 3.9 ( 2002 ) , 3.5 ( 2003 ) , 1.8 ( 2004 ) . ( assuming population of 4.5 million ) Sweden : 2.6 ( 2001 ) , 3.7 ( 2002 ) , 3.5 ( 2003 ) , 2.6 ( 2004 ) . ( assuming population of 8.9 million ) Iceland is at about 0.2 .",579436,1393,1,noHate
13859752_2,0.0071775782853364944,0.217061847448349,0.07198802381753922,False,Thank you .,578188,1391,0,noHate
30390371_1,0.007387077901512384,0.23205161094665527,0.9879999756813049,True,"In the old days private security and armed whites would take care of this , but maybe the negros are fighting smarter by taking on soft-targets ?",572482,1396,0,noHate
30413547_3,0.1441238969564438,0.20266391336917877,0.049854379147291183,False,Visit http://HolocaustHandbooks.com today,572082,1354,0,noHate
14101084_1,0.016095193102955818,0.32190701365470886,0.26878622174263,False,I used to enter horse competitions until I was thrown off one and broke my leg .,574315,1381,0,noHate
14082109_2,0.05546851456165314,0.2296631783246994,0.13880537450313568,False,14/88,593073,1381,0,noHate
14273611_1,0.009502421133220196,0.13280320167541504,0.15509623289108276,False,"Hey, she passed away a few weeks ago now ; Did you not read it in the papers or see it in the news ?",589865,1380,0,noHate
14677489_2,2.234665043943096e-05,0.24820920825004578,0.16375549137592316,False,"Unfortunately , intelligent outliers of races generally not gifted with a high average intelligence can be very deadly .",574954,1371,1,noHate
30546921_3,0.0026030875742435455,0.1516200751066208,0.18447472155094147,False,"They can be blue , green , or grey at different times .",574034,1348,0,noHate
13501262_2,0.11418165266513824,0.24752824008464813,0.22919687628746033,False,I want to show them this thread .,586483,1345,1,noHate
12856456_1,0.0002960059209726751,0.2228097766637802,0.04314293712377548,False,"Arseniy Yatsenyuk approved as Ukraine 's new prime minister Arseniy Yatsenyuk , Ukraine 's new prime minister Published February 27 , 2014 / FoxNews.com Source : Arseniy Yatsenyuk approved as Ukraine 's new prime minister | Fox News",572723,1346,0,noHate
12872204_3,0.059560347348451614,0.19474704563617706,0.04360116645693779,False,It 's close to Finnic and Estonian .,572043,1397,0,noHate
12849464_4,0.00277861300855875,0.0734654888510704,0.1446988880634308,False,And the sad thing is the white students at those schools will act like that too .,575975,1346,1,hate
30954922_2,0.20318758487701416,0.09736963361501694,0.9879999756813049,True,"JAPs are a total hoot , each the center of the universe , loud , brash , vain , arrogant . . .",572228,1346,0,hate
30451625_3,0.08554115146398544,0.15755178034305573,0.21789780259132385,False,I went back a cpl years ago and the black vermin were everywhere .,577167,1388,0,hate
30777933_3,0.00047619076212868094,0.15889672935009003,0.270353227853775,False,Old Bible scholars beleive the Bible was written by White Germanic people .,573685,1363,0,noHate
13470937_4,0.00046472420217469335,0.23638418316841125,0.037520457059144974,False,Gatsby Coram & Stoney Westmoreland - FedEx Commercial `` Vacation at home '' - YouTube,576661,1346,0,noHate
13473247_4,0.517765998840332,0.28867051005363464,0.6414800882339478,True,I have seen young white girl 's and boy 's acting like blacks with their baggy pant 's and their hip hop .,583605,1346,0,noHate
14030428_1,0.000899074540939182,0.07133070379495621,0.08757574111223221,False,Although we have slight variances in our position here I want to thank all the posters who have kept this thread civil .,580682,1387,0,noHate
14082739_2,0.3115447163581848,0.31243830919265747,0.18816599249839783,False,I need to get pics of her tonight when I get done shaving her .,597968,1381,0,noHate
30431013_2,0.048174746334552765,0.27402180433273315,0.9879999756813049,True,Alot of blue missing but it always goes bang and fits in my pants pocket better than my Taurus tip up .,577207,1359,3,noHate
14268777_3,0.04619543254375458,0.17066995799541473,0.06005421280860901,False,From Norway to the Fareo Islands and then onto Iceland .,589338,1380,0,noHate
13456517_1,0.9825487732887268,0.05132083594799042,0.9879999756813049,True,Does anyone have that video of black gang attacking a white teenagers in front of his house and then a black gang of females attack his mother for trying to protect her son .,579575,1347,0,noHate
13867005_1,0.007028954103589058,0.07253745198249817,0.03929657116532326,False,"Thanks, ive actually found this to be a very warm and welcoming site , been reading for a few weeks now , thought id register .",592928,1391,0,noHate
13379594_2,0.07547000795602798,0.24911972880363464,0.0703703761100769,False,Sub 70 I.Q. I would say for sure .,574041,1345,1,hate
14107382_2,0.015779465436935425,0.2757267653942108,0.11538959294557571,False,Write back if you want to talk .,593305,1381,0,noHate
14408833_1,0.005384360905736685,0.08580990135669708,0.2581908404827118,False,"If you are putting bread on a White family 's table , they will follow you .",577166,1375,0,noHate
14407299_1,0.007656130474060774,0.0954202339053154,0.9879999756813049,True,Newsnet14.com thugreport.com It 's a shame most of the people that came here are just rambling about killing people though lol ....,572153,1375,0,noHate
13480343_2,0.008908268064260483,0.12837430834770203,0.2329763025045395,False,When you get to the site click on Dark Crimes .,573459,1345,0,noHate
14670410_2,0.05573134124279022,0.21002410352230072,0.6084627509117126,True,The only thing Negroes have is wishful want .,576425,1371,1,hate
13595927_1,0.0007500108331441879,0.09829148650169373,0.15750326216220856,False,I can sincerely tell you that I am certain he was a beautiful man and I love names of honour and those which hold origo within our folklore . ... for him .,572043,1393,0,noHate
14105130_3,0.06268838047981262,0.2296631783246994,0.06340441852807999,False,Aimee,599783,1381,0,noHate
30565021_4,0.03584954887628555,0.1440059393644333,0.04814049229025841,False,Same with basketball and baseball .,572726,1348,0,noHate
31769461_2,0.011642740108072758,0.19741249084472656,0.05831700935959816,False,Support the Boy Scouts .,589998,1363,0,noHate
12845607_4,0.1542043387889862,0.12352146953344345,0.9879999756813049,True,Like the `` white '' -African ( what the hell is her name ) ..,572930,1396,0,noHate
13944391_1,0.0519259013235569,0.327758252620697,0.13220131397247314,False,I understand this but unfortunatly I have no one else to turn to .,581731,1388,0,noHate
30552917_1,0.0367160364985466,0.1030355766415596,0.14587844908237457,False,I am in the same boat as you to an extent .,574247,1388,0,noHate
31787598_1,0.007193753961473703,0.10033424198627472,0.03767499700188637,False,I was wondering the same thing when I first saw that this section was added .,593307,1363,0,noHate
14669208_1,0.06709795445203781,0.27978938817977905,0.9879999756813049,True,I'm glad you 're gay !,572648,1371,0,noHate
14027303_1,0.0018029354978352785,0.041504792869091034,0.21756035089492798,False,"Liberals go on about diversity and how we all need it , but they have no problem with two completely different types of people blending together and being the same .",595866,1387,0,noHate
13494117_6,0.05705777183175087,0.06130577251315117,0.11107990890741348,False,Thus they have the title as the fattest people in the world .,580901,1395,0,noHate
13854327_1,0.07688786834478378,0.16064447164535522,0.4417034387588501,False,You cant expect those poor underprivilidged blacks to have to put up with this cold weather .,587508,1391,0,hate
30439769_4,0.015544574707746506,0.2296631783246994,0.06725066900253296,False,TNB !,573224,1362,0,relation
14438496_2,0.0030469687189906836,0.07358746230602264,0.11115046590566635,False,"I 've started asking myself that question every day , and every day it seems like I did n't do enough .",572554,1375,0,noHate
30491857_3,1.0411953553557396e-05,0.2296631783246994,0.05239930748939514,False,Cats Musical - Memory - YouTube,572057,1362,0,noHate
30571599_13,1.2726195564027876e-05,0.26082420349121094,0.9879999756813049,True,"158 carpenter NiB BCG , 1/7 twist , CHF barrel and chamber , comfy CTR stock , etc .",576238,1359,0,noHate
14106203_3,0.05445163697004318,0.2296631783246994,0.07426087558269501,False,Anything ??,599920,1381,1,noHate
30636316_1,0.23691479861736298,0.3112371563911438,0.36095115542411804,False,Boys and girls should n't wrestle each other .,607088,1359,0,noHate
13059807_2,0.015263428911566734,0.2296631783246994,0.5741164088249207,True,Absolute stupidity !,574041,1345,0,noHate
